rx.kbps	rx.pps	tx.kbps	tx.pps
24	43	292	27
24	44	304	27
20	42	280	27
20	40	272	25
20	42	280	27
20	44	304	27
20	42	284	26
20	39	268	24
32	65	444	40
28	57	392	35
28	57	392	35
72	144	1034.24	87
72	149	1075.2	91
72	150	1075.2	90
72	149	1075.2	91
72	149	1085.44	92
72	150	1075.2	91
72	150	1075.2	90
52	107	640	56
84	175	1454.08	126
72	147	1044.48	88
68	144	1064.96	89
72	148	1064.96	89
72	151	1085.44	92
72	149	1075.2	90
68	143	1064.96	90
72	150	1075.2	91
72	148	1064.96	90
72	152	1085.44	92
72	149	1064.96	90
72	147	1054.72	89
68	144	1064.96	89
72	152	1085.44	92
72	152	1095.68	92
72	150	1075.2	91
72	152	1085.44	91
72	151	1085.44	91
72	150	1075.2	90
72	150	1085.44	91
72	152	1085.44	92
72	151	1085.44	91
72	151	1085.44	91
72	152	1085.44	91
72	149	1064.96	90
72	152	1085.44	92
72	150	1075.2	90
72	149	1064.96	89
72	153	1085.44	92
72	152	1085.44	91
72	148	1075.2	90
72	150	1075.2	90
68	141	1034.24	87
72	151	1085.44	91
72	150	1075.2	90
72	147	1054.72	89
72	149	1075.2	91
72	148	1064.96	90
48	96	560	50
4	5	4	5
4	2	0	2
4	2	0	2
4	2	0	2
